order_id,user_id,transaction_amount,num_of_item
104671,83488,0.0199999995529651,1
75102,59812,0.49000000953674311,1
95464,76145,0.49000000953674311,1
44227,35291,0.49000000953674311,1
29481,23526,0.49000000953674311,1
83889,66888,0.49000000953674311,1
47466,37845,1.5,1
3418,2733,1.5,1
22090,17520,1.5,1
115183,91834,1.5,1
79624,63441,1.5,1
110920,88445,1.5,1
62914,50114,1.5099999904632568,1
87795,70019,1.5099999904632568,1
212,169,1.5099999904632568,1
9503,7548,1.5099999904632568,1
106627,85019,1.5099999904632568,1
19665,15562,1.5099999904632568,1
108564,86553,1.5099999904632568,1
67312,53633,1.7200000286102295,1
21293,16884,1.75,1
85015,67806,1.75,1
58431,46592,1.75,1
60991,48646,1.75,1
61623,49124,1.8200000524520876,1
32318,25857,1.950000047683716,1
53572,42694,1.950000047683716,1
55248,44034,1.950000047683716,1
63427,50516,1.950000047683716,1
73325,58375,1.950000047683716,1
92839,74086,1.950000047683716,1
117079,93301,1.950000047683716,1
58921,46994,1.950000047683716,1
101649,81124,1.950000047683716,1
3253,2573,1.950000047683716,1
15891,12571,1.950000047683716,1
36128,28848,1.950000047683716,1
49259,39261,1.950000047683716,1
77793,61971,1.950000047683716,1
83193,66319,1.950000047683716,1
105823,84384,1.950000047683716,1
57272,45652,1.9800000190734863,1
95450,76136,2.5,1
26466,21026,2.5,1
110510,88136,2.5899999141693115,1
6334,5032,2.5899999141693115,1
21986,17445,2.5899999141693115,1
82102,65453,2.5899999141693115,1
9560,7593,2.5899999141693115,1
94167,75159,2.5899999141693115,1
73274,58340,2.6700000762939453,1
117413,93556,2.6700000762939453,1
71455,56859,2.6700000762939453,1
93520,74642,2.6700000762939453,1
15782,12491,2.6700000762939453,1
17059,13509,2.6700000762939453,1
72953,58070,2.6700000762939453,1
45945,36663,2.6700000762939453,1
112,84,2.7799999713897705,1
50936,40598,2.7799999713897705,1
30181,24136,2.7799999713897705,1
91106,72657,2.7799999713897705,1
74420,59264,2.7799999713897705,1
740,592,2.7999999523162842,1
107031,85333,2.7999999523162842,1
31039,24826,2.7999999523162842,1
43813,34943,2.7999999523162842,1
76450,60906,2.9500000476837158,1
80476,64144,2.9500000476837158,1
100507,80195,2.9500000476837158,1
100906,80507,2.9500000476837158,1
122748,97830,2.9500000476837158,1
9523,7563,2.9500000476837158,1
17142,13570,2.9500000476837158,1
20662,16373,2.9500000476837158,1
27530,21902,2.9500000476837158,1
54704,43595,2.9500000476837158,1
61821,49283,2.9500000476837158,1
90929,72517,2.9500000476837158,1
95393,76099,2.9500000476837158,1
108480,86485,2.9500000476837158,1
33035,26438,2.9500000476837158,1
35227,28158,2.9500000476837158,1
49817,39707,2.9500000476837158,1
106074,84594,2.9500000476837158,1
108871,86800,2.9500000476837158,1
12030,9541,2.9500000476837158,1
31680,25339,2.9500000476837158,1
34502,27588,2.9500000476837158,1
69877,55640,2.9500000476837158,1
100102,79881,2.9500000476837158,1
103465,82554,2.9500000476837158,1
19042,15084,2.9500000476837158,1
